Variable,Coefficient,Std. Error,t-stat,p-value
Intercept,1487.3,0.816,1822.0,p < 1×10⁻³⁰⁰
A321,788.283,1.449,544.03,p < 1×10⁻³⁰⁰
A319,-209.187,0.662,-316.16,p < 1×10⁻³⁰⁰
B737,-20.785,0.876,-23.72,p = 1×10⁻¹²⁴
B738,33.82,0.531,63.75,p < 1×10⁻³⁰⁰
PBN index,-20.724,0.737,-28.12,p = 1×10⁻¹⁷⁴
Route distance (NM),6.347,0.001,4976.27,p < 1×10⁻³⁰⁰
