Variable,Coefficient,Std. Error,t-stat,p-value
Intercept,4699.867,2.58,1822.0,p < 1×10⁻³⁰⁰
A321,2490.975,4.579,544.03,p < 1×10⁻³⁰⁰
A319,-661.03,2.091,-316.16,p < 1×10⁻³⁰⁰
B737,-65.68,2.769,-23.72,p = 1×10⁻¹²⁴
B738,106.87,1.676,63.75,p < 1×10⁻³⁰⁰
PBN index,-65.489,2.329,-28.12,p = 1×10⁻¹⁷⁴
Route distance (NM),20.057,0.004,4976.27,p < 1×10⁻³⁰⁰
