Variable,Coefficient,Std. Error,t-stat,p-value
Intercept,4690.738,2.467,1901.29,p < 1×10⁻³⁰⁰
A321,2841.109,4.701,604.34,p < 1×10⁻³⁰⁰
A319,-638.579,2.133,-299.4,p < 1×10⁻³⁰⁰
B737,-63.014,2.854,-22.08,p = 1×10⁻¹⁰⁸
B738,94.567,1.66,56.98,p < 1×10⁻³⁰⁰
PBN index,-87.57,2.403,-36.44,p = 1×10⁻²⁹¹
Route distance (NM),20.029,0.004,5571.54,p < 1×10⁻³⁰⁰
