Variable,Coefficient,Std. Error,t-stat,p-value
Intercept,1484.411,0.781,1901.29,p < 1×10⁻³⁰⁰
A321,899.085,1.488,604.34,p < 1×10⁻³⁰⁰
A319,-202.082,0.675,-299.4,p < 1×10⁻³⁰⁰
B737,-19.941,0.903,-22.08,p = 1×10⁻¹⁰⁸
B738,29.926,0.525,56.98,p < 1×10⁻³⁰⁰
PBN index,-27.712,0.76,-36.44,p = 1×10⁻²⁹¹
Route distance (NM),6.338,0.001,5571.54,p < 1×10⁻³⁰⁰
